seed,variant,mode,split,level,n,window_s,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
3,mixed_128,full,val,window,3964,30.0,0.6384,0.7693,0.5753,0.6597,0.8666,0.2841,0.7666,0.1686
3,mixed_128,full,val,subject,40,30.0,0.6175,0.5916,0.575,0.575,0.9,0.25,0.6792,0.15
3,mixed_300,frozen,test,window,4084,30.0,0.5783,0.7172,0.5625,0.632,0.7585,0.3665,0.7363,0.1292
3,mixed_300,frozen,test,subject,40,30.0,0.5775,0.56,0.625,0.625,0.95,0.3,0.717,0.25
3,mixed_300,frozen,val,window,3964,30.0,0.5949,0.7115,0.5666,0.6365,0.8079,0.3253,0.7413,0.1437
3,mixed_300,frozen,val,subject,40,30.0,0.615,0.618,0.525,0.525,0.8,0.25,0.6275,0.05
3,mixed_300,full,test,window,4084,30.0,0.602,0.7474,0.566,0.5291,0.462,0.67,0.5707,0.1092
3,mixed_300,full,test,subject,40,30.0,0.62,0.6005,0.5,0.5,0.2,0.8,0.2857,0.0
3,mixed_300,full,val,window,3964,30.0,0.6405,0.7747,0.5721,0.5739,0.5782,0.5661,0.6364,0.1343
3,mixed_300,full,val,subject,40,30.0,0.66,0.7112,0.6,0.6,0.45,0.75,0.5294,0.2
4,reconstruction_only,frozen,test,window,4186,30.0,0.6219,0.7088,0.5784,0.597,0.6647,0.4921,0.6672,0.1565
4,reconstruction_only,frozen,test,subject,40,30.0,0.6225,0.5844,0.575,0.575,0.65,0.5,0.6047,0.15
4,reconstruction_only,frozen,val,window,4021,30.0,0.6741,0.8298,0.6277,0.664,0.7107,0.5447,0.7525,0.2351
4,reconstruction_only,frozen,val,subject,40,30.0,0.68,0.6774,0.625,0.625,0.75,0.5,0.6667,0.25
4,reconstruction_only,full,test,window,4186,30.0,0.6541,0.7266,0.6012,0.6443,0.8011,0.4013,0.7324,0.2134
4,reconstruction_only,full,test,subject,40,30.0,0.72,0.7108,0.65,0.65,0.95,0.35,0.7308,0.3
4,reconstruction_only,full,val,window,4021,30.0,0.7365,0.8736,0.6624,0.719,0.7917,0.5332,0.802,0.3185
4,reconstruction_only,full,val,subject,40,30.0,0.795,0.7517,0.825,0.825,0.95,0.7,0.8444,0.65
4,lejepa_only_128,frozen,test,window,4186,30.0,0.5461,0.6575,0.5,0.6077,1.0,0.0,0.756,0.0
4,lejepa_only_128,frozen,test,subject,40,30.0,0.6625,0.7268,0.5,0.5,1.0,0.0,0.6667,0.0
4,lejepa_only_128,frozen,val,window,4021,30.0,0.5264,0.7413,0.5,0.7187,1.0,0.0,0.8363,0.0
4,lejepa_only_128,frozen,val,subject,40,30.0,0.545,0.5475,0.5,0.5,1.0,0.0,0.6667,0.0
4,lejepa_only_128,full,test,window,4186,30.0,0.5955,0.7151,0.5339,0.6027,0.8534,0.2144,0.7231,0.0752
4,lejepa_only_128,full,test,subject,40,30.0,0.5925,0.6526,0.525,0.525,0.85,0.2,0.6415,0.05
4,lejepa_only_128,full,val,window,4021,30.0,0.7199,0.8702,0.6112,0.7409,0.9076,0.3148,0.8343,0.2576
4,lejepa_only_128,full,val,subject,40,30.0,0.66,0.6785,0.575,0.575,0.9,0.25,0.6792,0.15
4,mixed_128,frozen,test,window,4186,30.0,0.6093,0.6824,0.5754,0.6032,0.7044,0.4464,0.6833,0.1534
4,mixed_128,frozen,test,subject,40,30.0,0.605,0.6101,0.55,0.55,0.7,0.4,0.6087,0.1
4,mixed_128,frozen,val,window,4021,30.0,0.7015,0.8371,0.641,0.6777,0.7249,0.557,0.7638,0.2613
4,mixed_128,frozen,val,subject,40,30.0,0.705,0.7355,0.65,0.65,0.8,0.5,0.6957,0.3
